Posición,Título,Duración,País,Dirección,Género,Nota
0,El segundo acto,85 min.,Francia,Quentin Dupieux,Comedia|Comedia absurda.Teatro.Inteligencia artificial,"6,3"
1,La luz que imaginamos,118 min.,India,Payal Kapadia,Drama|Amistad,"6,6"
2,Jurado Nº 2,117 min.,Estados Unidos,Clint Eastwood,Thriller.Drama.Intriga|Drama judicial / Abogados/as,"7,1"
3,Kneecap,105 min.,Irlanda,Rich Peppiatt,Comedia.Drama|Hip Hop.Música.Basado en hechos reales,"7,0"
4,La sustancia,140 min.,Reino Unido,Coralie Fargeat,Ciencia ficción.Terror|Body Horror.Thriller psicológico.Vejez / Madurez.Comedia negra.Sátira,"7,0"
5,La joven y el mar,100 min.,Estados Unidos,Joachim Rønning,Drama.Romance|Biográfico.Deporte.Natación.Años 20,"6,9"
6,Mi yo adulta,89 min.,Estados Unidos,Megan Park,Romance.Comedia.Fantástico|Comedia romántica.Comedia dramática.Viajes en el tiempo,"6,2"
7,Rita,94 min.,España,Paz Vega,Drama|Infancia.Años 80,"6,4"
8,Alumbramiento,101 min.,España,Pau Teixidor,Drama|Años 80.Maternidad,"6,3"
9,La casa,83 min.,España,Álex Montoya,Drama|Comedia dramática.Cómic.Familia,"6,8"
10,Anora,138 min.,Estados Unidos,Sean Baker,Comedia.Drama|Prostitución.Comedia negra.Comedia dramática.Cine independiente USA,"7,4"
11,MaXXXine,103 min.,Estados Unidos,Ti West,Terror|Slasher.Cine dentro del cine.Asesinos en serie.Años 80.Crimen.Secuela,"6,1"
12,Ordinary Angels,116 min.,Estados Unidos,"Jon Gunn,Rick Skene",Comedia|Basado en hechos reales.Enfermedad.Familia,"6,1"
13,Smile 2,127 min.,Estados Unidos,Parker Finn,Terror.Thriller|Thriller psicológico.Música.Secuela,"6,4"
14,A Different Man,112 min.,Estados Unidos,Aaron Schimberg,Thriller,"6,8"
15,The Apprentice. La historia de Trump,120 min.,Canadá,Ali Abbasi,Drama|Biográfico.Años 70.Años 80.Bolsa & Negocios.Política,"6,6"
16,Mamífera,93 min.,España,Liliana Torres,Drama|Maternidad,"6,4"
17,Mi amigo el pingüino,98 min.,Estados Unidos,David Schurmann,Drama|Basado en hechos reales.Animales,"6,2"
